,episode_no,ep_name,topic0,topic1,topic2,topic3,topic4,character
6,"(2, 1)",The Dundies,0.010619507930561043,0.0029524248941165845,0.05842211709055432,8.877291775402616e-05,0.0014946404253426417,dwight
10,"(2, 2)",Sexual Harassment,0.004590577355158172,0.9998063594348415,0.07595443361251172,0.023921866427643355,0.027178905903134123,dwight
0,"(2, 4)",The Fire,0.024593420352922304,0.0006709703571864093,0.04202164225996534,0.0013536923831349269,0.031888366428613125,dwight
2,"(2, 5)",Halloween,0.03492019050689837,0.01212754647364829,0.27156431028316025,0.0010413107638385696,0.008477600268193405,dwight
1,"(2, 6)",The Fight,0.8991318271169652,0.0017009013792358915,0.04868609307902329,0.0007848474593096623,0.0007246935505392561,dwight
7,"(2, 9)",E-Mail Surveillance,0.017568582350507154,0.0012439486658050612,0.9286458524831214,0.0022998662675001477,0.01950433487985272,dwight
5,"(2, 12)",The Injury,0.04874881954294306,0.0018450002037660404,0.08112654990403215,0.00014345769975840846,0.003889496850200355,dwight
9,"(2, 14)",The Carpet,0.014184571866354292,0.0031522568216835107,0.10306008475814704,0.009853818763164402,0.02042288461883673,dwight
8,"(2, 16)",Valentine's Day,0.01030785269637004,0.9995585337474041,0.0855154248015534,0.0019603241315313867,0.02186686512923916,dwight
3,"(2, 18)",Take Your Daughter to Work Day,0.0020879895621878273,0.004781310796681121,0.14143194163129985,0.017815829982221226,0.011773484723819595,dwight
4,"(2, 21)",Conflict Resolution,0.008596063221994762,0.0047276213240039985,0.5430819691657587,0.0010065509712499099,0.04082010484943786,dwight
20,"(3, 2)",The Convention,0.14240168762152716,0.9687392351315028,0.026070223031289662,0.009527127556994313,0.021629899082169987,dwight
12,"(3, 3)",The Coup,0.9553937968025702,0.005805729218306602,0.03773670829428423,0.0025941797742469216,0.005644058770543153,dwight
17,"(3, 4)",Grief Counseling,0.9491966483056313,0.0030887374183374092,0.06328989705035645,0.00023549912891643166,0.0009893889571512408,dwight
11,"(3, 5)",Initiation,0.0012068060482445674,0.00033774144253318524,0.0571534614860459,0.004694957855363128,0.01657755185901564,dwight
21,"(3, 6)",Diwali,0.00034300149425180523,0.0007859181762254741,0.0048123488142258804,0.005186080747776293,0.0009136064164333941,dwight
