,word,count
34,pam,122
12,dwight,118
28,michael,114
18,jim,53
33,office,41
11,desk,32
48,wimowheh,27
0,andy,25
17,idea,22
23,kevin,21
25,manager,19
21,karen,18
40,sale,17
13,friend,16
15,game,16
20,job,15
44,toby,15
36,party,13
45,tonight,13
29,mom,13
31,movie,12
37,question,11
32,number,11
4,bit,11
42,stuff,11
19,jo,10
6,company,10
27,meredith,10
5,boss,10
35,paper,9
3,birthday,9
38,reason,9
10,deal,9
22,kelly,9
7,conference,9
41,scranton,9
43,team,8
46,voice,8
47,wedding,8
2,art,8
30,morning,8
39,ring,8
9,couple,8
26,meeting,8
1,angela,8
24,life,8
8,copy,8
16,girl,8
14,gabe,8
49,york,8
