,word,count
28,michael,177
20,jim,98
36,pam,40
15,dwight,38
30,mom,27
1,angela,25
8,chair,21
21,job,21
17,friend,21
49,wedding,20
11,computer,19
6,car,16
14,dunder,15
29,mifflin,15
0,andy,15
22,kevin,14
13,desk,13
44,sale,13
35,oscar,13
7,card,13
40,resolution,12
32,month,12
25,meeting,11
46,stanley,11
41,ring,11
42,roy,11
24,list,11
27,message,10
45,scranton,10
43,ryan,10
26,meredith,9
18,idea,9
39,picture,9
34,night,9
31,money,9
47,toby,9
16,erin,9
19,jan,8
12,date,8
38,phyllis,8
3,bathroom,8
4,bird,8
48,voicemail,7
9,check,7
37,paper,7
23,kid,7
33,morning,7
5,boss,7
10,class,7
2,ball,7
