,episode_no,ep_name,lines,season,ep,no_char,spacy_doc,clean_doc
0,"(2, 14)",The Carpet," um, pam plus spam plus...? right. it was great. mm-hm. roy and i just got back from the poconos. i get ten vacation days a year, and i try to hold off taking them for as long as possible, and this year i got to the third week in january. what? i don't know. [looking at pile on michel's carpet] oh... i don't know. no, i don't think it's a bird. open the door up! thanks! a little. [giggles at roy] you're gonna throw my things on the ground? [to roy in jim's earshot] ...back so soon. yeah, right. yeah, that's right. we could do a three-day weekend. i wonder if i could, like, call in sick on the friday. then i get a four-day weekend. [to roy as jim escapes into bathroom] are you kidding? somebody did something bad to michael's carpet. maybe that's all we need to know. that doesn't seem fair. what's our punishment? [voicemail message for jim] hey, jim. it's pam. i keep looking up to say something to you and then michael's there and it's horrible. anyway, i'm bored. come back! [voicemail message for jim] hey, guess what? i moved my computer so i can't see michael's head. it's working. i think i can have a career as a very specific type of decorator. [voicemail message for jim] sudoku. level moderate. 18 minutes. suck on that, halpert. [voicemail message for jim] i'll transfer you. dunder mifflin, this is pam. hold, please. dunder mifflin, this is ... okay, sorry. michael was standing at my desk, and i needed to be busy or who knows what would've happened, so thank you. [voicemail message for jim] hey, what's that word we made up when you have a thing stuck in your shoe? anyway, i have a thing stuck in my shoe. [voicemail message for jim] hey, i have a chance to sneak out of here early, and i'm not messing this up, so i'll see you tomorrow. [voicemail message for jim] calling from my cell phone. i don't know if you guys figured out who did that to michael's carpet yet, but i have a theory that involves an inter-departmental conspiracy. everybody in the office. we need to talk.",2,14,2005," um, pam plus spam plus...? right. it was great. mm-hm. roy and i just got back from the poconos. i get ten vacation days a year, and i try to hold off taking them for as long as possible, and this year i got to the third week in january. what? i don't know. [looking at pile on michel's carpet] oh... i don't know. no, i don't think it's a bird. open the door up! thanks! a little. [giggles at roy] you're gonna throw my things on the ground? [to roy in jim's earshot] ...back so soon. yeah, right. yeah, that's right. we could do a three-day weekend. i wonder if i could, like, call in sick on the friday. then i get a four-day weekend. [to roy as jim escapes into bathroom] are you kidding? somebody did something bad to michael's carpet. maybe that's all we need to know. that doesn't seem fair. what's our punishment? [voicemail message for jim] hey, jim. it's pam. i keep looking up to say something to you and then michael's there and it's horrible. anyway, i'm bored. come back! [voicemail message for jim] hey, guess what? i moved my computer so i can't see michael's head. it's working. i think i can have a career as a very specific type of decorator. [voicemail message for jim] sudoku. level moderate. 18 minutes. suck on that, halpert. [voicemail message for jim] i'll transfer you. dunder mifflin, this is pam. hold, please. dunder mifflin, this is ... okay, sorry. michael was standing at my desk, and i needed to be busy or who knows what would've happened, so thank you. [voicemail message for jim] hey, what's that word we made up when you have a thing stuck in your shoe? anyway, i have a thing stuck in my shoe. [voicemail message for jim] hey, i have a chance to sneak out of here early, and i'm not messing this up, so i'll see you tomorrow. [voicemail message for jim] calling from my cell phone. i don't know if you guys figured out who did that to michael's carpet yet, but i have a theory that involves an inter-departmental conspiracy. everybody in the office. we need to talk.",pam spam plus roy poconos vacation day year year week january pile michel carpet bird door thank giggle roy thing ground jim earshot day weekend friday day weekend jim bathroom michael carpet punishment voicemail message jim jim pam michael voicemail message jim computer michael head career type decorator voicemail message jim level minute halpert voicemail message jim dunder mifflin pam dunder mifflin michael desk voicemail message jim word thing shoe thing shoe voicemail message jim chance tomorrow voicemail message jim cell phone guy michael carpet theory conspiracy office
1,"(2, 1)",The Dundies," ugh... you know what they say about a car wreck, where it's so awful you can't look away? the dundies are like a car wreck that you want to look away, but you have to stare at it because your boss is making you. michael has taped every dundies awards and now, he's making me look through hours of footage to find highlights. oh, yeah, this is the part where kevin sat in front of the camcorder all night. it's great. [quietly laughing] it wasn't. i swear. we're not laughing at you, dwight. um, just something somebody wrote. um, it's kind of private. okay, now i'm laughing at you. you're taking away our bathroom? michael... ...dwight is banning us from our bathroom. um... sorry. ...because that's what happens every time! no. [breaks roy's grip] no, i don't want to go, i don't want to. if you would have asked me that, then you would know. oh no, i just, i decided to stay. i'll just get a ride home from angela. oh good, i'm just in time for ping. [to an off camera waiter and still clutching jim's beer] can i get a drink? no, no. 'cause the ice melts and then it's like second drink! [laughs] yay kevin. whoo hoo for kevin! for stinking up the bathroom. woo! hey, i haven't gotten one yet! more dundies! fine work! fine work stanley! here here! speech, speech, speech, speech [other people start joining in] i have so many people to thank for this award. okay, first off, my keds. because i couldn't have done it without them. [people clap] thank you. let's give michael a round of applause for mc-ing tonight because [people start clapping again] this is a lot harder than it looks. and also because of dwight too. um, so, finally, i want to thank god. because god gave me this dundie. and, i feel god in this chili's tonight. whoooooooo!!!! nothing. what? dwight, get off me! oh my god! i just want to say, that this was the best, dundies, ever! whooooooooo!!! i feel bad about what i wrote on the bathroom wall. hey, um, can i ask you a question? um, i just wanted to say thanks. bye.",2,1,1996," ugh... you know what they say about a car wreck, where it's so awful you can't look away? the dundies are like a car wreck that you want to look away, but you have to stare at it because your boss is making you. michael has taped every dundies awards and now, he's making me look through hours of footage to find highlights. oh, yeah, this is the part where kevin sat in front of the camcorder all night. it's great. [quietly laughing] it wasn't. i swear. we're not laughing at you, dwight. um, just something somebody wrote. um, it's kind of private. okay, now i'm laughing at you. you're taking away our bathroom? michael... ...dwight is banning us from our bathroom. um... sorry. ...because that's what happens every time! no. [breaks roy's grip] no, i don't want to go, i don't want to. if you would have asked me that, then you would know. oh no, i just, i decided to stay. i'll just get a ride home from angela. oh good, i'm just in time for ping. [to an off camera waiter and still clutching jim's beer] can i get a drink? no, no. 'cause the ice melts and then it's like second drink! [laughs] yay kevin. whoo hoo for kevin! for stinking up the bathroom. woo! hey, i haven't gotten one yet! more dundies! fine work! fine work stanley! here here! speech, speech, speech, speech [other people start joining in] i have so many people to thank for this award. okay, first off, my keds. because i couldn't have done it without them. [people clap] thank you. let's give michael a round of applause for mc-ing tonight because [people start clapping again] this is a lot harder than it looks. and also because of dwight too. um, so, finally, i want to thank god. because god gave me this dundie. and, i feel god in this chili's tonight. whoooooooo!!!! nothing. what? dwight, get off me! oh my god! i just want to say, that this was the best, dundies, ever! whooooooooo!!! i feel bad about what i wrote on the bathroom wall. hey, um, can i ask you a question? um, i just wanted to say thanks. bye.",ugh car wreck dundie car wreck boss michael dundie award hour footage highlight kevin camcorder night dwight bathroom michael dwight bathroom time roy grip ride angela time ping camera waiter jim beer drink ice drink laughs yay kevin whoo hoo kevin bathroom dundie work work stanley speech speech speech speech people people award ked people michael round applause mc ing tonight people lot dwight god god dundie god chili tonight dundie whooooooooo bathroom wall question thank
2,"(2, 12)",The Injury," dunder mifflin, this is pam. michael, what's wrong? ok, wait wait wait wait... michael, do you need me to call an ambulance?! ok... wait a second, i thought you said that you were hurt. [exasperated] uh, i have to stay here and answer the phone. michael, is, um, sick and he wants one of us to rescue him. michael, why don't you call your girlfriend? what was that?! [everyone runs to michael's office window] ohhhhhh! oh my gosh. is he ok? you missed two big conference calls today, one with corporate. no, i didn't mention that you cooked your foot. you didn't have any. and do my job? it's just that before, you said that you didn't want any special treatment. do you want some aspirin, because you seem a little fussy. you've seen one of these? roy gave it to me for christmas. i'm trying to figure out how to put songs on it. really? oh! ha, haha. pan? oh, god. [phone rings] what. tell me before i come there. no. no. really? what?! that is so cool. thanks dwight! oh god no, dwight isn't my friend... oh my god! dwight's kind of my friend! no, he's actually been really nice and helpful. wow... dwight, you have your hand up. dwight, here, let me help you dwight. get up, get up. yeah. i know. i know. i just want to say goodbye ok? yes, i know, but it's gonna be different. it's just hard to explain. oh my goodness! come here. dunder mifflin, this is pam. oh my god, what is going on, is dwight ok? i can't believe he's getting a cat scan. really? michael went in with him? wow. ok, that's uh, good news [pam sees angela eavesdropping] uh, yeah, no i'll let you go. ok. bye. hey, oscar? i just wanted to let you that dwight's gonna be ok. the doctor said there's a really simple treatment for a concussion, so he'll probably even be back at work tomorrow. i just, uh, thought you'd want to know that.",2,12,1810," dunder mifflin, this is pam. michael, what's wrong? ok, wait wait wait wait... michael, do you need me to call an ambulance?! ok... wait a second, i thought you said that you were hurt. [exasperated] uh, i have to stay here and answer the phone. michael, is, um, sick and he wants one of us to rescue him. michael, why don't you call your girlfriend? what was that?! [everyone runs to michael's office window] ohhhhhh! oh my gosh. is he ok? you missed two big conference calls today, one with corporate. no, i didn't mention that you cooked your foot. you didn't have any. and do my job? it's just that before, you said that you didn't want any special treatment. do you want some aspirin, because you seem a little fussy. you've seen one of these? roy gave it to me for christmas. i'm trying to figure out how to put songs on it. really? oh! ha, haha. pan? oh, god. [phone rings] what. tell me before i come there. no. no. really? what?! that is so cool. thanks dwight! oh god no, dwight isn't my friend... oh my god! dwight's kind of my friend! no, he's actually been really nice and helpful. wow... dwight, you have your hand up. dwight, here, let me help you dwight. get up, get up. yeah. i know. i know. i just want to say goodbye ok? yes, i know, but it's gonna be different. it's just hard to explain. oh my goodness! come here. dunder mifflin, this is pam. oh my god, what is going on, is dwight ok? i can't believe he's getting a cat scan. really? michael went in with him? wow. ok, that's uh, good news [pam sees angela eavesdropping] uh, yeah, no i'll let you go. ok. bye. hey, oscar? i just wanted to let you that dwight's gonna be ok. the doctor said there's a really simple treatment for a concussion, so he'll probably even be back at work tomorrow. i just, uh, thought you'd want to know that.",dunder mifflin pam michael michael ambulance phone michael michael girlfriend michael office window conference call today foot job treatment aspirin fussy roy christmas song haha pan phone ring thank dwight friend dwight kind friend hand dwight dunder mifflin pam cat scan michael news pam angela eavesdropping dwight go doctor treatment concussion work tomorrow
3,"(2, 9)",E-Mail Surveillance," [whispers to jim] hey. something just happened. dwight just told angela that she has to deleted all of her sensitive e-mails immediately. i know! do you think that they're like- no, right, no, no. uhhh, ew, ew, ew... .maybe? it's like squishing a spider under a book. it's gonna be really gross but i have to look and make sure that it's really dead. sooo... [to camera guys] if you guys see anything... ? hey, dwight, um, my friend is kinda into these two girls that he works with. one is tall and brunette, and the other one is short, and blonde, and perky, and kinda judgmental. who do you think he should choose? ummmm... hey, angela- how's it going? listen, are you bringing anyone to jim's party tonight? no. i mean, i don't know, i don't think so. oh. yeah. the professors would go to the parties? [to cameraman] what? [looks at dwight eating a baby ruth] ohhhh... yes! thank you! really? that's great. maybe we can get him to hide and wait somewhere. oh, no, he can't make it. no thanks. hey. definitely. jim's bedroom. cool... this is your desk. your home office? down. you have to sit down so i can get the full effect. ok, wait, so that would make me [walks to side of room] like right here. and dwight would be like- umm, [gasps] yearbook! [finds jim's picture] ooooohhh no! you were so dorky! hey phyllis, come here for a second. have you heard anything about any secret office romances? that's ok. it's ok. oh, yeah i gave that up. yeah, it turns out i was, um, just grasping at straws. just because two people are hanging out, it doesn't mean that they're together, you know? like people can just be friends. and i think that it was really unfair to think that there was anything else going on.",2,9,1710," [whispers to jim] hey. something just happened. dwight just told angela that she has to deleted all of her sensitive e-mails immediately. i know! do you think that they're like- no, right, no, no. uhhh, ew, ew, ew... .maybe? it's like squishing a spider under a book. it's gonna be really gross but i have to look and make sure that it's really dead. sooo... [to camera guys] if you guys see anything... ? hey, dwight, um, my friend is kinda into these two girls that he works with. one is tall and brunette, and the other one is short, and blonde, and perky, and kinda judgmental. who do you think he should choose? ummmm... hey, angela- how's it going? listen, are you bringing anyone to jim's party tonight? no. i mean, i don't know, i don't think so. oh. yeah. the professors would go to the parties? [to cameraman] what? [looks at dwight eating a baby ruth] ohhhh... yes! thank you! really? that's great. maybe we can get him to hide and wait somewhere. oh, no, he can't make it. no thanks. hey. definitely. jim's bedroom. cool... this is your desk. your home office? down. you have to sit down so i can get the full effect. ok, wait, so that would make me [walks to side of room] like right here. and dwight would be like- umm, [gasps] yearbook! [finds jim's picture] ooooohhh no! you were so dorky! hey phyllis, come here for a second. have you heard anything about any secret office romances? that's ok. it's ok. oh, yeah i gave that up. yeah, it turns out i was, um, just grasping at straws. just because two people are hanging out, it doesn't mean that they're together, you know? like people can just be friends. and i think that it was really unfair to think that there was anything else going on.",jim dwight angela e mail uhhh ew ew ew .maybe spider book camera guy guy friend girl brunette kinda judgmental ummmm angela- jim party tonight professor party dwight baby ruth ohhhh thank jim bedroom desk home office effect room dwight umm gasps yearbook jim picture hey phyllis office romance straw people people friend
4,"(2, 6)",The Fight," i don't really have any control over that stanley. michael tends to procrastinate a bit whenever he has to do work. umm, time cards, he has to sign these every friday. purchase orders have to be approved at the end of every month. and expense reports, all he has to do is initial these at the end of every quarter. but once a year, it all falls on the same friday and that's today. i call it the perfect storm. umm, i put stickers so you know where to sign. it's just last year you... well, the last pick-up for overnight deliveries is at seven. so you need to have them signed by then. or much earlier. well, is that really a priority? [reading jim's palm] you're major and minor lines cross at a ridge - that sucks. i am just following the website. yes, you have very nice teeth. could you practice on the forms? i don't know. french onion? ok. i just have a quick question. no, it's not that. um, i was just wondering, since i'm probably going to have to stay late, could you ask dwight to stay late too so he can walk me to my car? he's a purple belt. that's really high. it's just out there, you... yeah. what? well, look closer. once point for me. oh, you're dead. hey, put me down. put me down. [meredith turns and looks at jim and pam] oh my god, hey, put me down. hey... yeah, you too. the shipping place closes in a half hour.",2,6,1337," i don't really have any control over that stanley. michael tends to procrastinate a bit whenever he has to do work. umm, time cards, he has to sign these every friday. purchase orders have to be approved at the end of every month. and expense reports, all he has to do is initial these at the end of every quarter. but once a year, it all falls on the same friday and that's today. i call it the perfect storm. umm, i put stickers so you know where to sign. it's just last year you... well, the last pick-up for overnight deliveries is at seven. so you need to have them signed by then. or much earlier. well, is that really a priority? [reading jim's palm] you're major and minor lines cross at a ridge - that sucks. i am just following the website. yes, you have very nice teeth. could you practice on the forms? i don't know. french onion? ok. i just have a quick question. no, it's not that. um, i was just wondering, since i'm probably going to have to stay late, could you ask dwight to stay late too so he can walk me to my car? he's a purple belt. that's really high. it's just out there, you... yeah. what? well, look closer. once point for me. oh, you're dead. hey, put me down. put me down. [meredith turns and looks at jim and pam] oh my god, hey, put me down. hey... yeah, you too. the shipping place closes in a half hour.",control stanley michael bit work time card friday purchase order end month expense report end quarter year friday today storm umm sticker year pick delivery priority jim palm line ridge website tooth form onion question dwight car belt point meredith jim pam shipping place hour
5,"(2, 5)",Halloween," hey... happy halloween. jan called. [entering] you wanted me? [notices michael's costume] papier-mache? hmm. mm-hmm. why did you put it off until halloween? i think it's gonna put a damper on the party a little. so it's a man? i just answer the phone. you're costume is fantastic! [laughs] oh no, don't, don't, don't, don't. [michael laughs] aah! [laughs, then leaves] okay... okay, greatest strength. a dog-like obedience to authority but that doesn't sound good. he's a g*n nut. no, i made brownies. ... what? i made brownies. i'm guessing angela's the one in the neighborhood who gives the trick-or-treaters some toothbrushes. pennies. walnuts. [on phone] dunder-mifflin. this is pam. [listens] uh, yeah. [snaps her fingers in the air, getting jim's attention] just one second. i will, uh, transfer you to our manager, michael scott. jim is really talented. and he should be the one who's getting a better job offer. like, for real. don't take this the wrong way, but... you should go for that job. yeah, but i mean, look at the salary. and it's definitely a step up. and a challenge. jim... what happened? oh. that was like crazy. 'cause i was... oh, hey, jim. wait, stop. um, i'm sorry... for pushing you towards cumberland. seriously, if you left here, i would blow my brains out.",2,5,1287," hey... happy halloween. jan called. [entering] you wanted me? [notices michael's costume] papier-mache? hmm. mm-hmm. why did you put it off until halloween? i think it's gonna put a damper on the party a little. so it's a man? i just answer the phone. you're costume is fantastic! [laughs] oh no, don't, don't, don't, don't. [michael laughs] aah! [laughs, then leaves] okay... okay, greatest strength. a dog-like obedience to authority but that doesn't sound good. he's a g*n nut. no, i made brownies. ... what? i made brownies. i'm guessing angela's the one in the neighborhood who gives the trick-or-treaters some toothbrushes. pennies. walnuts. [on phone] dunder-mifflin. this is pam. [listens] uh, yeah. [snaps her fingers in the air, getting jim's attention] just one second. i will, uh, transfer you to our manager, michael scott. jim is really talented. and he should be the one who's getting a better job offer. like, for real. don't take this the wrong way, but... you should go for that job. yeah, but i mean, look at the salary. and it's definitely a step up. and a challenge. jim... what happened? oh. that was like crazy. 'cause i was... oh, hey, jim. wait, stop. um, i'm sorry... for pushing you towards cumberland. seriously, if you left here, i would blow my brains out.",hey halloween jan michael costume mache mm hmm halloween damper party man phone laughs michael laughs aah laugh strength dog obedience authority g*n nut brownie brownie angela neighborhood trick treater toothbrush penny walnut phone dunder mifflin pam listen finger air jim attention manager michael scott jim job offer way job salary step challenge jim jim cumberland brain
6,"(2, 2)",Sexual Harassment," you are? my mom is coming in to visit. and she lives like two hours away. and she doesn't have a cell phone... which is cool cause it's kind of adding some suspense to my day. and i keep looking over at the door hoping she'll walk in. i've decided to show her around. she really wants to meet everybody. mmhmm. oh really? um... i just wanted to say that... just, my mom's coming in today. thanks, kevin. usually the day we talk about sexual harassment is the day that everyone harasses me as a joke. she's coming in today and maybe just don't joke around about that stuff in front of her. thank you. uh... my mother's coming. i don't have any dui's so i can drive myself, but thanks. [ecstatic] oh my god! hello! i love my mom. okay. that's probably really the most obvious statement ever. yeah. i'm in charge of this whole area. this is where i used to keep my computer. but then i moved it. yeah, yeah, but i uh... i switched stuff around because i actually needed like more room for organization. so... so this is like, um, an organization station... hey! well, you know... actually, i kind of need to stall a bit. but, it's okay, because i am very used to k*ll time. mom! no. ten minutes. then we can go to dinner. he said what?",2,2,1233," you are? my mom is coming in to visit. and she lives like two hours away. and she doesn't have a cell phone... which is cool cause it's kind of adding some suspense to my day. and i keep looking over at the door hoping she'll walk in. i've decided to show her around. she really wants to meet everybody. mmhmm. oh really? um... i just wanted to say that... just, my mom's coming in today. thanks, kevin. usually the day we talk about sexual harassment is the day that everyone harasses me as a joke. she's coming in today and maybe just don't joke around about that stuff in front of her. thank you. uh... my mother's coming. i don't have any dui's so i can drive myself, but thanks. [ecstatic] oh my god! hello! i love my mom. okay. that's probably really the most obvious statement ever. yeah. i'm in charge of this whole area. this is where i used to keep my computer. but then i moved it. yeah, yeah, but i uh... i switched stuff around because i actually needed like more room for organization. so... so this is like, um, an organization station... hey! well, you know... actually, i kind of need to stall a bit. but, it's okay, because i am very used to k*ll time. mom! no. ten minutes. then we can go to dinner. he said what?",mom hour cell phone suspense day door mom today thank kevin day harassment day joke today stuff mom duo thank ecstatic mom statement charge area computer stuff room organization organization station bit k*ll time mom minute dinner
7,"(2, 21)",Conflict Resolution," no. yeah? oh, thanks! uh... there are a few people i decided not to invite, and that might make things kind of awkward but ... it's my wedding. and i don't want anyone there who has called me a hussy. win! how about, angela can keep it up on tuesdays and thursdays? win. win hey, angela.[hands her a save the date card] i didn't have your zip code. nice. [notices angela's intense concern] um... let's move on. i volunteer. did anyone have a problem with me? wait, what did it say? i have this kind of big secret about angela. and i've been really nice to her... and i haven't told anyone. and what the hell?! [gets up and walks over to angela, whispering to her] hey. thanks for ratting me out! i find that hard to believe... considering you have problems with every single person in this entire office except bobblehead joe. i can't believe angela. i went against my better judgment, and i gave her a save the date. and now it turns out she complained about me to toby. don't take her side. i don't know. i try not to bother him about this kind of stuff. yeah. angela, i want to talk to you about something. [looks at to jim] i am. [looks at angela] it's about the save the date. what?! okay.",2,21,1195," no. yeah? oh, thanks! uh... there are a few people i decided not to invite, and that might make things kind of awkward but ... it's my wedding. and i don't want anyone there who has called me a hussy. win! how about, angela can keep it up on tuesdays and thursdays? win. win hey, angela.[hands her a save the date card] i didn't have your zip code. nice. [notices angela's intense concern] um... let's move on. i volunteer. did anyone have a problem with me? wait, what did it say? i have this kind of big secret about angela. and i've been really nice to her... and i haven't told anyone. and what the hell?! [gets up and walks over to angela, whispering to her] hey. thanks for ratting me out! i find that hard to believe... considering you have problems with every single person in this entire office except bobblehead joe. i can't believe angela. i went against my better judgment, and i gave her a save the date. and now it turns out she complained about me to toby. don't take her side. i don't know. i try not to bother him about this kind of stuff. yeah. angela, i want to talk to you about something. [looks at to jim] i am. [looks at angela] it's about the save the date. what?! okay.",people thing wedding hussy win angela tuesday thursday win save date card zip code notice angela concern problem kind secret angela hell angela thank problem person office bobblehead joe angela judgment save date toby kind stuff angela jim angela save date
8,"(2, 16)",Valentine's Day," i really like valentine's day in this office. it's kinda like grade school. everybody gives out little presents and stuff. like last year, jim gave me this card, with dwight's head on it, it was horrifying and funny and... [delivery man enters with a bouquet of red roses. pam stands up to look at card.] phyllis. roy and i are saving for the wedding, so i made him promise not to get me anything too big. that's ok. guess what? that's great. [meredith scowls] oh, holy god! you can't fire me, dwight, just 'cause michael's not here. you need to get something for your girlfriend. tightly wound? ok, well, sometimes the gift is really about the gesture, you know, like what it means, instead of what it is. no, not like a ham. it's about doing something, so that the person knows that you really care about her. that you remember her. yeah. [delivering plant to oscar's desk] oscar. [walks away] join the club. hey. i guess, yeah. nothing, it's just i had to sit here all day, while phyllis got like an entire garden delivered to her. i mean, i know that we said no big gifts, but i was kind of hoping you'd get me something for valentine's day. heading out? bye. [jim leaves] night phyllis.",2,16,1192," i really like valentine's day in this office. it's kinda like grade school. everybody gives out little presents and stuff. like last year, jim gave me this card, with dwight's head on it, it was horrifying and funny and... [delivery man enters with a bouquet of red roses. pam stands up to look at card.] phyllis. roy and i are saving for the wedding, so i made him promise not to get me anything too big. that's ok. guess what? that's great. [meredith scowls] oh, holy god! you can't fire me, dwight, just 'cause michael's not here. you need to get something for your girlfriend. tightly wound? ok, well, sometimes the gift is really about the gesture, you know, like what it means, instead of what it is. no, not like a ham. it's about doing something, so that the person knows that you really care about her. that you remember her. yeah. [delivering plant to oscar's desk] oscar. [walks away] join the club. hey. i guess, yeah. nothing, it's just i had to sit here all day, while phyllis got like an entire garden delivered to her. i mean, i know that we said no big gifts, but i was kind of hoping you'd get me something for valentine's day. heading out? bye. [jim leaves] night phyllis.",valentine day office grade school present stuff year jim card dwight head delivery man bouquet rose pam card phyllis roy wedding meredith god michael girlfriend gift gesture ham person plant oscar desk oscar club day phyllis garden gift valentine day jim leaves night phyllis
9,"(2, 18)",Take Your Daughter to Work Day," i'm looking forward to 'take your daughter to work' day. i am not great with kids, but i wanna get better. because i'm getting married. so, i put out a bunch of extra candy out on my desk so the kids will come talk to me. ...like the witch in hanzel and gretel. oh, i have more. [holds up bags of candy] oh, michael. you can't be nasty today. [whispering] 'cause of the... [points to 'welcome daughters!' sign] i reminded you last night. don't you think you should say something? michael, i think that as the boss you should really--- hey, abby! do you want to help me shred some old documents? it's actually pretty cool. i only have one goal today. to make one kid like me. just one. that is! he's not coming out. he won't pick up the phone. so, melissa... i met your mom a couple times. she's so nice. mmhmm. sure. you're welcome. it's not too bad. i get to shred things sometimes, do you want to see? really? okay. um... here it is. don't put your fingers in there. [shreds paper] cool huh? yeah, i get to do this like, every week. i know. i think he thought his ukulele k*ll would transfer. [jim leaves] my theory is that... [jim signals he's leaving, waves bye to pam]",2,18,1174," i'm looking forward to 'take your daughter to work' day. i am not great with kids, but i wanna get better. because i'm getting married. so, i put out a bunch of extra candy out on my desk so the kids will come talk to me. ...like the witch in hanzel and gretel. oh, i have more. [holds up bags of candy] oh, michael. you can't be nasty today. [whispering] 'cause of the... [points to 'welcome daughters!' sign] i reminded you last night. don't you think you should say something? michael, i think that as the boss you should really--- hey, abby! do you want to help me shred some old documents? it's actually pretty cool. i only have one goal today. to make one kid like me. just one. that is! he's not coming out. he won't pick up the phone. so, melissa... i met your mom a couple times. she's so nice. mmhmm. sure. you're welcome. it's not too bad. i get to shred things sometimes, do you want to see? really? okay. um... here it is. don't put your fingers in there. [shreds paper] cool huh? yeah, i get to do this like, every week. i know. i think he thought his ukulele k*ll would transfer. [jim leaves] my theory is that... [jim signals he's leaving, waves bye to pam]",daughter day kid bunch candy desk kid witch hanzel gretel bag candy michael today point daughter sign night michael boss abby document goal today kid phone mom couple time thing finger paper week ukulele k*ll jim leave theory jim wave pam
