,episode_no,ep_name,michael,jim_romance,party_office_admin,art_career,odd_assistant_tasks,season,character
0,"(2, 1)",The Dundies,0.0323395065191551,0.0193944743820086,0.0006691558385043858,0.007588477985410646,0.00012182350741981702,2,pam
1,"(2, 2)",Sexual Harassment,0.009621770399597869,0.005509163070628529,0.0007452098616381198,0.004177802514077279,0.0013581007813977734,2,pam
2,"(2, 4)",The Fire,0.0035505186743418357,0.9540028709943219,0.0007452098616381192,0.004474125807554707,0.0021486649396692545,2,pam
3,"(2, 5)",Halloween,0.2936472220467653,0.9468188020981438,0.979614231540162,0.006716291984651339,0.00044092474828293635,2,pam
4,"(2, 6)",The Fight,0.030741048677950533,0.9740253669628652,0.00024567046605380343,0.005015680293249775,0.002148384037931181,2,pam
5,"(2, 9)",E-Mail Surveillance,0.0014809442984624508,0.884403935680899,0.999509469490672,0.0017206297586977856,0.0014888773538176549,2,pam
6,"(2, 12)",The Injury,0.8926542047371946,0.04064113865770278,0.0007452098616381198,0.006154157821959381,0.0028342216698011703,2,pam
7,"(2, 14)",The Carpet,0.999999,0.9911200820909432,0.0007452098616381198,0.004577069193496481,0.004869716404153433,2,pam
8,"(2, 16)",Valentine's Day,0.0011949492462198729,0.2047196893055002,0.00015810850516659132,0.0059449697890419225,0.001322016884058766,2,pam
9,"(2, 18)",Take Your Daughter to Work Day,0.06589561315094414,0.3181661202664766,1.6329855219624996e-05,0.004881646761030427,0.001106680083839096,2,pam
10,"(2, 21)",Conflict Resolution,0.009621770399597869,0.999999,0.0007452098616381198,0.009067954502554989,0.002148715044347182,2,pam
11,"(3, 2)",The Convention,0.999999,0.999999,0.0007452098616381198,0.006935745871497244,0.002148789868019591,3,pam
12,"(3, 3)",The Coup,0.020763950358709378,0.01956755199871816,0.0007452098616381198,0.005260445156868646,0.002148759542253072,3,pam
13,"(3, 4)",Grief Counseling,0.02870707285589137,0.014619759602481712,0.0005269779581296237,0.0023303245625741144,0.9678803029838599,3,pam
14,"(3, 5)",Initiation,0.999999,0.03770763885887413,0.0007535187281341059,0.005627354715736721,2.6782401811473453e-05,3,pam
15,"(3, 6)",Diwali,0.07829396092911743,0.02111379549581903,0.0010417066903994627,0.00340955001730344,0.0007628950763610896,3,pam
